Artist Name,Country,Region,Genre,Selected
Soprano,France,France,Hip Hop,False
Bob Sinclar,France,France,Electronic,False
MAES,France,France,Hip Hop,False
Aya Nakamura,France,France,African,False
Gazo,France,France,Hip Hop,False
Helene Fischer,Germany,Germany,European,True
Emilio Piano,Germany,Germany,Pop,False
AnnenMayKantereit,Germany,Germany,Rock,True
Modern Talking,Germany,Germany,Pop,False
Rammstein,Germany,Germany,Metal,True
Felix Jaehn,Germany,Germany,Electronic,False
COLORS,Germany,Germany,Hip Hop,False
Tokio Hotel,Germany,Germany,Rock,False
Topic,Germany,Germany,Electronic,False
TheFatRat,Germany,Germany,Electronic,False
Electric Callboy,Germany,Germany,Metal,False
Hans Zimmer,Germany,Germany,Classical,False
Sido,Germany,Germany,Hip Hop,False
Johann Sebastian Bach,Germany,Germany,Classical,False
Bonez MC,Germany,Germany,Hip Hop,False
Purple Disco Machine,Germany,Germany,Electronic,False
Scorpions,Germany,Germany,Rock,False
Maryna Aksenov,Germany,Germany,Classical,False
Alphaville,Germany,Germany,Pop,False
Robin Schulz,Germany,Germany,Electronic,False
C418,Germany,Germany,Electronic,False
Luciano,Germany,Germany,Hip Hop,False
Keinemusik,Germany,Germany,Electronic,False
Ludwig van Beethoven,Germany,Germany,Classical,False
Milky Chance,Germany,Germany,Pop,False
Boney M.,Germany,Germany,Pop,False
Apache 207,Germany,Germany,Hip Hop,False
HOLY PRIEST,Germany,Germany,Electronic,False
Capital Bra,Germany,Germany,Hip Hop,False
MERO,Germany,Germany,Hip Hop,False
Peso Pluma,Mexico,Hispanic Countries,Latin,True
Carin Leon,Mexico,Hispanic Countries,Latin,False
Grupo Firme,Mexico,Hispanic Countries,Latin,False
ROSALÍA,Spain,Hispanic Countries,Pop,True
Manuel Turizo,Colombia,Hispanic Countries,Latin,False
Henrique & Juliano,Brazil,Hispanic Countries,Latin,False
Sebastian Yatra,Colombia,Hispanic Countries,Pop,False
Paulo Londra,Argentina,Hispanic Countries,Latin,False
Maluma,Colombia,Hispanic Countries,Latin,False
Gusttavo Lima,Brazil,Hispanic Countries,Latin,False
Luan Santana,Brazil,Hispanic Countries,Latin,False
Beéle,Colombia,Hispanic Countries,Latin,False
Milo j,Argentina,Hispanic Countries,Hip Hop,True
Feid,Colombia,Hispanic Countries,Latin,False
Marília Mendonça,Brazil,Hispanic Countries,Latin,False
La Arrolladora Banda El Limón,Mexico,Hispanic Countries,Latin,False
Shakira,Colombia,Hispanic Countries,Pop,False
Enrique Iglesias,Spain,Hispanic Countries,Pop,False
Vicente Fernandez,Mexico,Hispanic Countries,Latin,False
Fuerza Regida,Mexico,Hispanic Countries,Latin,False
Artthur Lima,Brazil,Hispanic Countries,Hip Hop,False
Jorge & Mateus,Brazil,Hispanic Countries,Latin,False
Karol G,Colombia,Hispanic Countries,Latin,False
Zé Neto & Cristiano,Brazil,Hispanic Countries,Latin,False
Blessd,Colombia,Hispanic Countries,Latin,False
Tito Double P,Mexico,Hispanic Countries,Latin,False
Ana Castela,Brazil,Hispanic Countries,Latin,False
Anitta,Brazil,Hispanic Countries,Pop,False
J Balvin,Colombia,Hispanic Countries,Latin,False
Junior H,Mexico,Hispanic Countries,Latin,False
Saad Lamjarred,Morocco,MENA,Pop,True
Sherine,Egypt,MENA,Pop,False
Sezen Aksu,Turkey,MENA,Pop,False
Mohamed Hamaki,Egypt,MENA,Pop,False
Ahmet Kaya,Turkey,MENA,Middle Eastern,True
BLOK3,Turkey,MENA,Pop,False
Amr Diab,Egypt,MENA,Middle Eastern,False
Ramy Sabry,Egypt,MENA,Pop,False
Filiz Kemal,Turkey,MENA,Pop,False
Mete Kayagil,Turkey,MENA,Pop,False
Tarkan,Turkey,MENA,Pop,False
Müslüm Gürses,Turkey,MENA,Middle Eastern,False
Didine Canon 16,Algeria,MENA,Hip Hop,True
Al Shami,Turkey,MENA,Hip Hop,False
ElGrandeToto,Morocco,MENA,Hip Hop,False
Ebru Gündeş,Turkey,MENA,Pop,False
Wegz,Egypt,MENA,Hip Hop,False
Mohamed Ramadan,Egypt,MENA,Hip Hop,False
Semicenk,Turkey,MENA,Pop,False
Ahmed Saad,Egypt,MENA,Pop,False
Lvbel C5,Turkey,MENA,Hip Hop,False
manifest,Turkey,MENA,Pop,False
İbrahim Tatlıses,Turkey,MENA,Middle Eastern,False
Soolking,Algeria,MENA,Hip Hop,False
Sevimli Dostlar,Turkey,MENA,Religious,False
Tamer Ashour,Egypt,MENA,Pop,False
Essam Sasa,Egypt,MENA,Pop,False
UZI,Turkey,MENA,Hip Hop,False
Essam Sasa,Egypt,MENA,Pop,False
Tamer Hosny,Egypt,MENA,Pop,False
Dhanda Nyoliwala,India,South/Central Asia,Hip Hop,True
Guru Randhawa,India,South/Central Asia,Pop,True
Pritam,India,South/Central Asia,Pop,False
Darshan Raval,India,South/Central Asia,Pop,False
Arijit Singh,India,South/Central Asia,Pop,False
Shreya Ghoshal,India,South/Central Asia,Pop,False
Jasmine Sandlas,India,South/Central Asia,Pop,False
A.R. Rahman,India,South/Central Asia,Pop,False
Jubin Nautiyal,India,South/Central Asia,Pop,False
B Praak,India,South/Central Asia,Pop,False
Kumar Sanu,India,South/Central Asia,Pop,False
Udit Narayan,India,South/Central Asia,Pop,False
Badshah,India,South/Central Asia,Pop,False
Alka Yagnik,India,South/Central Asia,Pop,False
Tulsi Kumar,India,South/Central Asia,Pop,False
Rahat Fateh Ali Khan,Pakistan,South/Central Asia,Pop,False
Anirudh Ravichander,India,South/Central Asia,Pop,False
Yo Yo Honey Singh,India,South/Central Asia,Pop,False
Tanishk Bagchi,India,South/Central Asia,Pop,False
Diljit Dosanjh,India,South/Central Asia,Pop,False
Khesari Lal Yadav,India,South/Central Asia,Pop,False
Masoom Sharma,India,South/Central Asia,Pop,False
Kishore Kumar,India,South/Central Asia,Asian,True
SONU NIGAM,India,South/Central Asia,Pop,False
Mohit Chauhan,India,South/Central Asia,Pop,False
Sunidhi Chauhan,India,South/Central Asia,Pop,False
Atif Aslam,Pakistan,South/Central Asia,Pop,False
Neha Kakkar,India,South/Central Asia,Pop,False
Sidhu Moose Wala,India,South/Central Asia,Hip Hop,False
Armaan Malik,India,South/Central Asia,Pop,False
Adekunle Gold,Nigeria,Sub-Saharan Africa,African,True
Diamond Platnumz,Tanzania,Sub-Saharan Africa,Pop,True
Zuchu,Tanzania,Sub-Saharan Africa,Pop,False
Davido,Nigeria,Sub-Saharan Africa,African,False
Kizz Daniel,Nigeria,Sub-Saharan Africa,African,False
Alikiba,Tanzania,Sub-Saharan Africa,African,False
Rema,Nigeria,Sub-Saharan Africa,African,False
Odumodublvck,Nigeria,Sub-Saharan Africa,African,False
RayVanny,Tanzania,Sub-Saharan Africa,African,False
Tiwa Savage,Nigeria,Sub-Saharan Africa,African,False
Fireboy DML,Nigeria,Sub-Saharan Africa,African,False
Dunsin Oyekan,Nigeria,Sub-Saharan Africa,Religious,True
TEKNO,Nigeria,Sub-Saharan Africa,African,False
Ruger,Nigeria,Sub-Saharan Africa,African,False
Burna Boy,Nigeria,Sub-Saharan Africa,African,False
Tems,Nigeria,Sub-Saharan Africa,R&B,False
DAMSO,Congo (Democratic),Sub-Saharan Africa,Hip Hop,False
Flavour,Nigeria,Sub-Saharan Africa,African,False
Wizkid,Nigeria,Sub-Saharan Africa,African,False
Asake,Nigeria,Sub-Saharan Africa,African,False
Joeboy,Nigeria,Sub-Saharan Africa,African,False
Harmonize,Tanzania,Sub-Saharan Africa,African,False
Olamide,Nigeria,Sub-Saharan Africa,African,False
Teddy Afro,Ethiopia,Sub-Saharan Africa,African,False
Omah Lay,Nigeria,Sub-Saharan Africa,African,False
CKay,Nigeria,Sub-Saharan Africa,African,False
Ayra Starr,Nigeria,Sub-Saharan Africa,African,False
Rayvanny,Tanzania,Sub-Saharan Africa,African,False
BNXN fka Buju,Nigeria,Sub-Saharan Africa,African,False
Fally Ipupa,Congo (Democratic),Sub-Saharan Africa,African,False
Dua Lipa,United Kingdom,United Kingdom / North America,Pop,True
Linkin Park,United States,United Kingdom / North America,Rock,True
Maroon 5,United States,United Kingdom / North America,Pop,False
Miley Cyrus,United States,United Kingdom / North America,Pop,False
Olivia Rodrigo,United States,United Kingdom / North America,Pop,False
Beyonce,United States,United Kingdom / North America,Pop,False
Katy Perry,United States,United Kingdom / North America,Pop,False
Sabrina Carpenter,United States,United Kingdom / North America,Pop,False
Ed Sheeran,United Kingdom,United Kingdom / North America,Pop,False
Michael Jackson,United States,United Kingdom / North America,Pop,False
Chris Brown,United States,United Kingdom / North America,Pop,False
Adele,United Kingdom,United Kingdom / North America,Pop,False
Ariana Grande,United States,United Kingdom / North America,Pop,False
Imagine Dragons,United States,United Kingdom / North America,Rock,True
Romeo Santos,United States,United Kingdom / North America,Latin,False
Billie Eilish,United States,United Kingdom / North America,Pop,False
Coldplay,United Kingdom,United Kingdom / North America,Rock,False
The Weeknd,Canada,United Kingdom / North America,Pop,False
Lady Gaga,United States,United Kingdom / North America,Pop,False
Drake,Canada,United Kingdom / North America,Hip Hop,False
Eminem,United States,United Kingdom / North America,Hip Hop,False
Lana Del Rey,United States,United Kingdom / North America,Pop,False
KATSEYE,United States,United Kingdom / North America,Pop,False
Kanye West,United States,United Kingdom / North America,Hip Hop,False
Taylor Swift,United States,United Kingdom / North America,Pop,False
Nicki Minaj,United States,United Kingdom / North America,Hip Hop,False
Selena Gomez,United States,United Kingdom / North America,Pop,False
Bruno Mars,United States,United Kingdom / North America,Pop,False
Justin Bieber,Canada,United Kingdom / North America,Pop,False
Travis Scott,United States,United Kingdom / North America,Hip Hop,False
