perceived_region,selected_gender_group,rank,gender_fit,Name,intended_gender,intended_origin_mode,intended_region,origin_match,category_selected_count,n_total_evaluations,category_perception_pct,adjusted_perception_pct,dominant_perceived_gender,dominant_gender_count,dominant_gender_pct,source_country_counts
Hispanic Countries,Female,3,Fit,Sara Rodríguez Gómez,Female,Spain,Hispanic Countries,1,32,34,94.1,96.1,Female,32,100.0,"Spain (30), Mexico (2), Argentina (1), Colombia (1), Peru (1), Venezuela (1)"
Hispanic Countries,Male,0,Not fit - wrong intended gender,Alba Martínez García,Female,Spain,Hispanic Countries,1,34,35,97.1,99.1,Female,33,97.1,"Spain (30), Argentina (4), Colombia (2), Mexico (1), Peru (1), Venezuela (1)"
Hispanic Countries,Male,1,Fit,Javier Nuñez Delgado,Male,Spain,Hispanic Countries,1,38,38,100.0,102.0,Male,38,100.0,"Spain (34), Colombia (2), Mexico (1), Venezuela (1)"
Hispanic Countries,Male,2,Fit,Xavier Martí Roca,Male,Spain,Hispanic Countries,1,35,36,97.2,99.2,Male,35,100.0,Spain (35)
Hispanic Countries,Male,3,Fit,Sergio Ramírez García,Male,Spain,Hispanic Countries,1,33,34,97.1,99.1,Male,33,100.0,"Spain (28), Mexico (2), Venezuela (2), Colombia (1)"
MENA,Female,0,Not fit - wrong intended gender,Bilal Öztürk,Male,Turkey,MENA,1,47,61,77.0,79.0,Male,42,89.4,"Turkey (42), Morocco (12), Saudi Arabia (4), Algeria (2), Egypt (2), Iran (2), Iraq (1)"
MENA,Female,0,Not fit - wrong intended gender,Muhammad Ahmed,Male,Pakistan,South/Central Asia,0,29,37,78.4,78.4,Male,28,96.6,"Morocco (20), Algeria (11), Saudi Arabia (8), Turkey (6), Iran (5), Iraq (5), Egypt (4)"
MENA,Female,0,Not fit - wrong intended gender,Shahid Hussain,Male,Pakistan,South/Central Asia,0,54,69,78.3,78.3,Male,50,92.6,"Iraq (20), Saudi Arabia (14), Morocco (13), Iran (11), Egypt (10), Algeria (8), Turkey (4)"
MENA,Female,0,Not fit - wrong intended gender,Mustafa Yilmaz,Male,Turkey,MENA,1,25,35,71.4,73.4,Male,24,96.0,"Morocco (17), Turkey (8), Algeria (6), Egypt (6), Iran (1), Saudi Arabia (1)"
MENA,Female,0,Not fit - wrong intended gender,Yusuf Yilmaz,Male,Turkey,MENA,1,47,66,71.2,73.2,Male,44,93.6,"Turkey (42), Saudi Arabia (7), Iraq (5), Iran (4), Algeria (3), Egypt (3), Morocco (3)"
MENA,Female,0,Not fit - wrong intended gender,Mehmet Özdemir,Male,Turkey,MENA,1,98,140,70.0,72.0,Male,96,98.0,"Turkey (96), Algeria (4), Egypt (3), Morocco (3), Saudi Arabia (2), Iran (1), Iraq (1)"
MENA,Female,1,Fit,Rachida El Moussaoui,Female,Morocco,MENA,1,29,33,87.9,89.9,Female,19,65.5,"Morocco (19), Algeria (11), Saudi Arabia (6), Iraq (4), Iran (4), Turkey (4), Egypt (2)"
MENA,Female,2,Fit,Fatma Yilmaz,Female,Turkey,MENA,1,48,68,70.6,72.6,Female,43,89.6,"Turkey (37), Morocco (13), Saudi Arabia (5), Iraq (4), Algeria (4), Iran (3), Egypt (2)"
MENA,Female,3,Fit,Yasmina Mustafa,Female,Morocco,MENA,1,56,81,69.1,71.1,Female,54,96.4,"Morocco (34), Turkey (17), Algeria (16), Egypt (15), Iraq (3), Saudi Arabia (3), Iran (2)"
MENA,Male,0,Not fit - wrong intended gender,Rachida El Moussaoui,Female,Morocco,MENA,1,29,33,87.9,89.9,Female,19,65.5,"Morocco (19), Algeria (11), Saudi Arabia (6), Iraq (4), Iran (4), Turkey (4), Egypt (2)"
MENA,Male,1,Fit,Bilal Öztürk,Male,Turkey,MENA,1,47,61,77.0,79.0,Male,42,89.4,"Turkey (42), Morocco (12), Saudi Arabia (4), Algeria (2), Egypt (2), Iran (2), Iraq (1)"
MENA,Male,2,Fit,Muhammad Ahmed,Male,Pakistan,South/Central Asia,0,29,37,78.4,78.4,Male,28,96.6,"Morocco (20), Algeria (11), Saudi Arabia (8), Turkey (6), Iran (5), Iraq (5), Egypt (4)"
MENA,Male,3,Fit,Shahid Hussain,Male,Pakistan,South/Central Asia,0,54,69,78.3,78.3,Male,50,92.6,"Iraq (20), Saudi Arabia (14), Morocco (13), Iran (11), Egypt (10), Algeria (8), Turkey (4)"
South/Central Asia,Female,0,Not fit - wrong intended gender,Ahmad Iqbal,Male,Pakistan,South/Central Asia,1,30,74,40.5,42.5,Male,29,96.7,"Pakistan (20), India (10), Afghanistan (7), Bangladesh (7), Kazakhstan (4), Sri Lanka (3), Tajikistan (2)"
South/Central Asia,Female,0,Not fit - perceived differently,Manahil Bhutt,Female,Pakistan,South/Central Asia,1,49,129,38.0,40.0,Male,32,65.3,"India (24), Pakistan (18), Sri Lanka (15), Bangladesh (14), Afghanistan (8), Kazakhstan (4), Tajikistan (3)"
South/Central Asia,Female,0,Not fit - perceived differently,Parveen Iqbal,Female,Pakistan,South/Central Asia,1,25,66,37.9,39.9,Male,18,72.0,"India (13), Pakistan (10), Bangladesh (4), Afghanistan (4), Kazakhstan (2), Sri Lanka (2), Tajikistan (1)"
South/Central Asia,Female,0,Not fit - wrong intended gender,Ahmad Khan,Male,Pakistan,South/Central Asia,1,216,571,37.8,39.8,Male,211,97.7,"Pakistan (120), India (76), Afghanistan (46), Bangladesh (41), Kazakhstan (23), Sri Lanka (22), Tajikistan (14)"
South/Central Asia,Female,0,Not fit - wrong intended gender,Zahid Rashid,Male,Pakistan,South/Central Asia,1,27,72,37.5,39.5,Male,24,88.9,"India (16), Pakistan (8), Afghanistan (5), Bangladesh (3), Kazakhstan (1), Sri Lanka (1)"
South/Central Asia,Female,0,Not fit - wrong intended gender,Muhammad Bakhash,Male,Pakistan,South/Central Asia,1,25,68,36.8,38.8,Male,24,96.0,"Pakistan (12), Bangladesh (7), Afghanistan (6), India (4), Tajikistan (2), Kazakhstan (1), Sri Lanka (1)"
South/Central Asia,Female,1,Fit,Ayesha Khan,Female,Pakistan,South/Central Asia,1,219,527,41.6,43.6,Female,191,87.2,"Pakistan (100), India (88), Afghanistan (32), Bangladesh (31), Kazakhstan (25), Sri Lanka (23), Tajikistan (11)"
South/Central Asia,Female,2,Fit,Aisha Raja,Female,Pakistan,South/Central Asia,1,20,54,37.0,39.0,Female,19,95.0,"India (13), Bangladesh (7), Pakistan (5), Sri Lanka (5), Tajikistan (2), Kazakhstan (1), Afghanistan (1)"
South/Central Asia,Female,3,Fit,Samina Anwar,Female,Pakistan,South/Central Asia,1,22,61,36.1,38.1,Female,20,90.9,"India (16), Pakistan (5), Sri Lanka (4), Bangladesh (4), Afghanistan (3), Kazakhstan (1)"
South/Central Asia,Male,0,Not fit - wrong intended gender,Ayesha Khan,Female,Pakistan,South/Central Asia,1,219,527,41.6,43.6,Female,191,87.2,"Pakistan (100), India (88), Afghanistan (32), Bangladesh (31), Kazakhstan (25), Sri Lanka (23), Tajikistan (11)"
South/Central Asia,Male,0,Not fit - wrong intended gender,Sakina Bakhash,Female,Pakistan,South/Central Asia,1,25,63,39.7,41.7,Female,24,96.0,"India (15), Bangladesh (11), Pakistan (10), Afghanistan (6), Sri Lanka (4), Kazakhstan (2), Tajikistan (2)"
South/Central Asia,Male,0,Not fit - wrong intended gender,Sakina Rashid,Female,Pakistan,South/Central Asia,1,28,71,39.4,41.4,Female,28,100.0,"India (21), Bangladesh (8), Pakistan (5), Sri Lanka (3), Afghanistan (2)"
South/Central Asia,Male,0,Not fit - wrong intended gender,Manahil Bhutt,Female,Pakistan,South/Central Asia,1,49,129,38.0,40.0,Male,32,65.3,"India (24), Pakistan (18), Sri Lanka (15), Bangladesh (14), Afghanistan (8), Kazakhstan (4), Tajikistan (3)"
South/Central Asia,Male,0,Not fit - wrong intended gender,Parveen Iqbal,Female,Pakistan,South/Central Asia,1,25,66,37.9,39.9,Male,18,72.0,"India (13), Pakistan (10), Bangladesh (4), Afghanistan (4), Kazakhstan (2), Sri Lanka (2), Tajikistan (1)"
South/Central Asia,Male,0,Not fit - wrong intended gender,Aisha Raja,Female,Pakistan,South/Central Asia,1,20,54,37.0,39.0,Female,19,95.0,"India (13), Bangladesh (7), Pakistan (5), Sri Lanka (5), Tajikistan (2), Kazakhstan (1), Afghanistan (1)"
South/Central Asia,Male,1,Fit,Ahmad Iqbal,Male,Pakistan,South/Central Asia,1,30,74,40.5,42.5,Male,29,96.7,"Pakistan (20), India (10), Afghanistan (7), Bangladesh (7), Kazakhstan (4), Sri Lanka (3), Tajikistan (2)"
South/Central Asia,Male,2,Fit,Zahid Rashid,Male,Pakistan,South/Central Asia,1,27,72,37.5,39.5,Male,24,88.9,"India (16), Pakistan (8), Afghanistan (5), Bangladesh (3), Kazakhstan (1), Sri Lanka (1)"
South/Central Asia,Male,3,Fit,Muhammad Bakhash,Male,Pakistan,South/Central Asia,1,25,68,36.8,38.8,Male,24,96.0,"Pakistan (12), Bangladesh (7), Afghanistan (6), India (4), Tajikistan (2), Kazakhstan (1), Sri Lanka (1)"
Sub-Saharan Africa,Female,0,Not fit - wrong intended gender,Michael Mbombo,Male,Congo,Sub-Saharan Africa,1,87,132,65.9,67.9,Male,83,95.4,"Nigeria (38), Senegal (38), DR Congo (34), Kenya (29), Uganda (19), Tanzania (13), Ethiopia (7)"
Sub-Saharan Africa,Female,0,Not fit - perceived differently,Nkulu Monga,Female,Congo,Sub-Saharan Africa,1,88,140,62.9,64.9,Male,73,83.0,"DR Congo (35), Nigeria (34), Senegal (32), Kenya (25), Uganda (23), Tanzania (16), Ethiopia (13)"
Sub-Saharan Africa,Female,0,Not fit - wrong intended gender,Tambwe Umba,Male,Congo,Sub-Saharan Africa,1,82,134,61.2,63.2,Male,63,76.8,"Senegal (27), Kenya (27), DR Congo (27), Uganda (24), Nigeria (22), Tanzania (21), Ethiopia (19)"
Sub-Saharan Africa,Female,0,Not fit - wrong intended gender,Mutombo Tshibola,Male,Congo,Sub-Saharan Africa,1,79,136,58.1,60.1,Male,73,92.4,"DR Congo (34), Nigeria (29), Uganda (25), Senegal (22), Kenya (21), Tanzania (14), Ethiopia (10)"
Sub-Saharan Africa,Female,0,Not fit - perceived differently,Bijou Kasongo,Female,Congo,Sub-Saharan Africa,1,98,169,58.0,60.0,Male,58,59.2,"DR Congo (38), Senegal (38), Kenya (31), Nigeria (20), Uganda (20), Ethiopia (15), Tanzania (9)"
Sub-Saharan Africa,Female,0,Not fit - perceived differently,Nogaye Kebe,Female,Senegal,Sub-Saharan Africa,1,79,139,56.8,58.8,Male,52,65.8,"Kenya (27), Senegal (23), Ethiopia (22), Uganda (21), Nigeria (20), DR Congo (17), Tanzania (14)"
Sub-Saharan Africa,Female,0,Not fit - wrong intended gender,Andre Mbongo,Male,Congo,Sub-Saharan Africa,1,19,34,55.9,57.9,Male,19,100.0,"Nigeria (12), Senegal (11), DR Congo (9), Uganda (7), Kenya (5), Ethiopia (5), Tanzania (3)"
Sub-Saharan Africa,Female,0,Not fit - wrong intended gender,Guy Mwanza,Male,Congo,Sub-Saharan Africa,1,35,64,54.7,56.7,Male,35,100.0,"Kenya (16), Nigeria (16), Tanzania (11), Uganda (9), Senegal (8), DR Congo (7), Ethiopia (5)"
Sub-Saharan Africa,Female,1,Fit,Anne Mwamba,Female,Congo,Sub-Saharan Africa,1,120,212,56.6,58.6,Female,118,98.3,"Nigeria (46), Kenya (42), DR Congo (32), Uganda (28), Tanzania (25), Senegal (23), Ethiopia (20)"
Sub-Saharan Africa,Female,2,Fit,Tabara Ndiaye,Female,Senegal,Sub-Saharan Africa,1,76,136,55.9,57.9,Female,68,89.5,"Senegal (39), Nigeria (24), Kenya (20), DR Congo (17), Uganda (15), Ethiopia (13), Tanzania (10)"
Sub-Saharan Africa,Female,3,Fit,Nsimba Bokila,Female,Congo,Sub-Saharan Africa,1,38,70,54.3,56.3,Female,19,50.0,"Nigeria (19), Uganda (14), Tanzania (14), DR Congo (13), Senegal (12), Ethiopia (12), Kenya (10)"
Sub-Saharan Africa,Male,0,Not fit - wrong intended gender,Nkulu Monga,Female,Congo,Sub-Saharan Africa,1,88,140,62.9,64.9,Male,73,83.0,"DR Congo (35), Nigeria (34), Senegal (32), Kenya (25), Uganda (23), Tanzania (16), Ethiopia (13)"
Sub-Saharan Africa,Male,1,Fit,Michael Mbombo,Male,Congo,Sub-Saharan Africa,1,87,132,65.9,67.9,Male,83,95.4,"Nigeria (38), Senegal (38), DR Congo (34), Kenya (29), Uganda (19), Tanzania (13), Ethiopia (7)"
Sub-Saharan Africa,Male,2,Fit,Tambwe Umba,Male,Congo,Sub-Saharan Africa,1,82,134,61.2,63.2,Male,63,76.8,"Senegal (27), Kenya (27), DR Congo (27), Uganda (24), Nigeria (22), Tanzania (21), Ethiopia (19)"
Sub-Saharan Africa,Male,3,Fit,Mutombo Tshibola,Male,Congo,Sub-Saharan Africa,1,79,136,58.1,60.1,Male,73,92.4,"DR Congo (34), Nigeria (29), Uganda (25), Senegal (22), Kenya (21), Tanzania (14), Ethiopia (10)"
United Kingdom / North America,Female,0,Not fit - wrong intended gender,Robert Taylor,Male,UK,United Kingdom / North America,1,57,64,89.1,91.1,Male,57,100.0,"United Kingdom (51), United States (4), Canada (3)"
United Kingdom / North America,Female,0,Not fit - wrong intended gender,Michael Johnson,Male,Nigeria,Sub-Saharan Africa,0,32,36,88.9,88.9,Male,30,93.8,"United States (28), United Kingdom (4), Canada (1)"
United Kingdom / North America,Female,0,Not fit - wrong intended gender,Peter Davies,Male,UK,United Kingdom / North America,1,55,65,84.6,86.6,Male,54,98.2,"United Kingdom (48), United States (7), Canada (2)"
United Kingdom / North America,Female,0,Not fit - wrong intended gender,John Wilson,Male,UK,United Kingdom / North America,1,60,71,84.5,86.5,Male,60,100.0,"United Kingdom (51), United States (8), Canada (2)"
United Kingdom / North America,Female,0,Not fit - wrong intended gender,Mark Jones,Male,UK,United Kingdom / North America,1,70,87,80.5,82.5,Male,68,97.1,"United Kingdom (60), United States (8), Canada (3)"
United Kingdom / North America,Female,0,Not fit - wrong intended gender,Paul Brown,Male,UK,United Kingdom / North America,1,49,61,80.3,82.3,Male,48,98.0,"United Kingdom (44), United States (4), Canada (2)"
United Kingdom / North America,Female,0,Not fit - wrong intended gender,Andrew Wright,Male,UK,United Kingdom / North America,1,48,60,80.0,82.0,Male,48,100.0,"United Kingdom (40), Canada (5), United States (4)"
United Kingdom / North America,Female,1,Fit,Patricia Wilson,Female,UK,United Kingdom / North America,1,55,66,83.3,85.3,Female,53,96.4,"United Kingdom (47), United States (7), Canada (3)"
United Kingdom / North America,Female,2,Fit,Elizabeth Wright,Female,UK,United Kingdom / North America,1,69,83,83.1,85.1,Female,68,98.6,"United Kingdom (62), United States (6), Canada (1)"
United Kingdom / North America,Female,3,Fit,Susan Brown,Female,UK,United Kingdom / North America,1,48,60,80.0,82.0,Female,46,95.8,"United Kingdom (42), United States (5), Canada (1)"
United Kingdom / North America,Male,0,Not fit - wrong intended gender,Margaret Johnson,Female,UK,United Kingdom / North America,1,54,63,85.7,87.7,Female,53,98.1,"United Kingdom (44), United States (10), Canada (2)"
United Kingdom / North America,Male,1,Fit,Robert Taylor,Male,UK,United Kingdom / North America,1,57,64,89.1,91.1,Male,57,100.0,"United Kingdom (51), United States (4), Canada (3)"
United Kingdom / North America,Male,2,Fit,Michael Johnson,Male,Nigeria,Sub-Saharan Africa,0,32,36,88.9,88.9,Male,30,93.8,"United States (28), United Kingdom (4), Canada (1)"
United Kingdom / North America,Male,3,Fit,Peter Davies,Male,UK,United Kingdom / North America,1,55,65,84.6,86.6,Male,54,98.2,"United Kingdom (48), United States (7), Canada (2)"
